cagr	volatility	sharpe_ratio	excess_cagr	dollar_max_drawdown	number_of_trades	final_equity	bollinger_band_length	sigma_factor	max_active_positions
0.15470297334407945	0.2800098669203844	0.5550907604529216	0.04453643905564486	15381.60318678197	656	42066.19074396928	10	1.0	2
0.156967998480958	0.24259602060309995	0.6486723640016294	0.0468014641925234	10752.220652524804	974	42897.632697706475	10	1.0	3
0.16779208172642068	0.22125959742678936	0.759488788121881	0.05762554743798609	9026.983909110724	1276	47078.790436394665	10	1.0	4
0.18079284903362192	0.2082009902683319	0.8692181697810297	0.07062631474518732	11039.04803855229	1612	52583.31234013391	10	1.0	5
0.15995685474467014	0.20097542093604584	0.7968857510174113	0.04979032045623555	9356.208319422934	1942	44017.40264715965	10	1.0	6
0.15470297334407945	0.2800098669203844	0.5550907604529216	0.04453643905564486	15381.60318678197	656	42066.19074396928	10	1.5	2
0.156967998480958	0.24259602060309995	0.6486723640016294	0.0468014641925234	10752.220652524804	974	42897.632697706475	10	1.5	3
0.16779208172642068	0.22125959742678936	0.759488788121881	0.05762554743798609	9026.983909110724	1276	47078.790436394665	10	1.5	4
0.18079284903362192	0.2082009902683319	0.8692181697810297	0.07062631474518732	11039.04803855229	1612	52583.31234013391	10	1.5	5
0.15995685474467014	0.20097542093604584	0.7968857510174113	0.04979032045623555	9356.208319422934	1942	44017.40264715965	10	1.5	6
0.15470297334407945	0.2800098669203844	0.5550907604529216	0.04453643905564486	15381.60318678197	656	42066.19074396928	10	2.0	2
0.156967998480958	0.24259602060309995	0.6486723640016294	0.0468014641925234	10752.220652524804	974	42897.632697706475	10	2.0	3
0.16779208172642068	0.22125959742678936	0.759488788121881	0.05762554743798609	9026.983909110724	1276	47078.790436394665	10	2.0	4
0.18079284903362192	0.2082009902683319	0.8692181697810297	0.07062631474518732	11039.04803855229	1612	52583.31234013391	10	2.0	5
0.15995685474467014	0.20097542093604584	0.7968857510174113	0.04979032045623555	9356.208319422934	1942	44017.40264715965	10	2.0	6
0.09250861917865816	0.28350324978295405	0.32822480351773825	-0.017657915109776434	24829.621397208903	678	24197.76822092649	20	1.0	2
0.13534049182703423	0.24512832067848608	0.5542186779361906	0.025173957538599634	15436.563262936113	939	35528.927688044896	20	1.0	3
0.17814169119157008	0.22908846750063003	0.7801357345324951	0.06797515690313549	25947.853316410175	1261	51415.97439047665	20	1.0	4
0.18921938375377545	0.2132136743711657	0.8899271416697461	0.07905284946534086	22665.322704146434	1635	56453.716982335674	20	1.0	5
0.13341513379995273	0.20541209219685028	0.6515261814335072	0.023248599511518142	11909.349997551733	1957	34931.72091211418	20	1.0	6
0.09250861917865816	0.28350324978295405	0.32822480351773825	-0.017657915109776434	24829.621397208903	678	24197.76822092649	20	1.5	2
0.13534049182703423	0.24512832067848608	0.5542186779361906	0.025173957538599634	15436.563262936113	939	35528.927688044896	20	1.5	3
0.17814169119157008	0.22908846750063003	0.7801357345324951	0.06797515690313549	25947.853316410175	1261	51415.97439047665	20	1.5	4
0.18921938375377545	0.2132136743711657	0.8899271416697461	0.07905284946534086	22665.322704146434	1635	56453.716982335674	20	1.5	5
0.13341513379995273	0.20541209219685028	0.6515261814335072	0.023248599511518142	11909.349997551733	1957	34931.72091211418	20	1.5	6
0.09250861917865816	0.28350324978295405	0.32822480351773825	-0.017657915109776434	24829.621397208903	678	24197.76822092649	20	2.0	2
0.13534049182703423	0.24512832067848608	0.5542186779361906	0.025173957538599634	15436.563262936113	939	35528.927688044896	20	2.0	3
0.17814169119157008	0.22908846750063003	0.7801357345324951	0.06797515690313549	25947.853316410175	1261	51415.97439047665	20	2.0	4
0.18921938375377545	0.2132136743711657	0.8899271416697461	0.07905284946534086	22665.322704146434	1635	56453.716982335674	20	2.0	5
0.13341513379995273	0.20541209219685028	0.6515261814335072	0.023248599511518142	11909.349997551733	1957	34931.72091211418	20	2.0	6
